stock_code,con_date,con_eps_roll
600690,2014-11-27,1.9367
600690,2014-11-28,1.9457
600690,2014-12-01,1.9488
600690,2014-12-02,1.9393
600690,2014-12-03,1.94
600690,2014-12-04,1.9424
600690,2014-12-05,1.9431
600690,2014-12-08,1.9465
600690,2014-12-09,1.9473
600690,2014-12-10,1.9481
600690,2014-12-11,1.9488
600690,2014-12-12,1.9496
600690,2014-12-15,1.9501
600690,2014-12-16,1.9276
600690,2014-12-17,1.9279
600690,2014-12-18,1.9286
600690,2014-12-19,1.9307
600690,2014-12-22,1.933
600690,2014-12-23,1.9337
600690,2014-12-24,1.9334
600690,2014-12-25,1.9341
600690,2014-12-26,1.9444
600690,2014-12-29,1.9467
600690,2014-12-30,1.9474
600690,2014-12-31,1.9482
600690,2015-01-05,1.9597
600690,2015-01-06,1.9552
600690,2015-01-07,1.9559
600690,2015-01-08,1.9567
600690,2015-01-09,1.9575
600690,2015-01-12,1.9597
600690,2015-01-13,1.9669
600690,2015-01-14,1.9814
600690,2015-01-15,1.982
600690,2015-01-16,1.9762
600690,2015-01-19,1.9785
600690,2015-01-20,1.9793
600690,2015-01-21,1.9903
600690,2015-01-22,1.9911
600690,2015-01-23,1.9903
600690,2015-01-26,1.9987
600690,2015-01-27,1.9996
600690,2015-01-28,2.0004
600690,2015-01-29,1.9988
600690,2015-01-30,2.0058
600690,2015-02-02,1.9981
600690,2015-02-03,1.9989
600690,2015-02-04,1.996
600690,2015-02-05,1.9985
600690,2015-02-06,1.9993
600690,2015-02-09,2.0017
600690,2015-02-10,2.0025
600690,2015-02-11,2.0033
600690,2015-02-12,2.0025
600690,2015-02-13,1.9946
600690,2015-02-16,2.0123
600690,2015-02-17,2.0138
600690,2015-02-25,2.0138
600690,2015-02-26,2.0147
600690,2015-02-27,2.014
600690,2015-03-02,2.0164
600690,2015-03-03,2.0172
600690,2015-03-04,2.0143
600690,2015-03-05,2.0187
600690,2015-03-06,2.0225
600690,2015-03-09,1.9997
600690,2015-03-10,2.0005
600690,2015-03-11,1.9828
600690,2015-03-12,2.0228
600690,2015-03-13,2.0236
600690,2015-03-16,2.045
600690,2015-03-17,2.0458
600690,2015-03-18,2.0466
600690,2015-03-19,2.0475
600690,2015-03-20,2.0398
600690,2015-03-23,2.0645
600690,2015-03-24,2.0654
600690,2015-03-25,2.0935
600690,2015-03-26,2.0944
600690,2015-03-27,2.0894
600690,2015-03-30,2.0922
600690,2015-03-31,2.0364
600690,2015-04-01,2.0421
600690,2015-04-02,2.0253
600690,2015-04-03,2.0262
600690,2015-04-07,2.0303
600690,2015-04-08,2.0312
600690,2015-04-09,2.0319
600690,2015-04-10,2.0353
600690,2015-04-13,2.0475
600690,2015-04-14,2.0484
600690,2015-04-15,2.0493
600690,2015-04-16,2.0464
600690,2015-04-17,2.0473
600690,2015-04-20,2.0439
600690,2015-04-21,2.0448
600690,2015-04-22,2.0457
600690,2015-04-23,2.0466
600690,2015-04-24,2.0475
600690,2015-04-27,2.0573
600690,2015-04-28,2.0582
600690,2015-04-29,2.0591
600690,2015-04-30,2.0419
600690,2015-05-04,2.0516
600690,2015-05-05,2.0502
600690,2015-05-06,2.051
600690,2015-05-07,2.0499
600690,2015-05-08,2.0502
600690,2015-05-11,2.0573
600690,2015-05-12,2.0582
600690,2015-05-13,2.0592
